job_id,company_name,locations,salary,experience,skills,salary_min,salary_max,salary_avg,experience_years
1,Calipers Consulting Private Limited,"Secunderabad, Hyderabad                                                        (Hybrid)","₹ 5,04,000 - 7,10,000 /year",0 year(s),MS-OfficeMS-ExcelData entryEnglish Proficiency (Spoken)English Proficiency (Written),504000,710000,607000.0,0
2,Gruhatara Estates,Bangalore,"₹ 6,00,000 - 13,00,000 /year",1 year(s),NegotiationDigital MarketingMarket researchMarketing Strategies,600000,1300000,950000.0,1
3,Modtraa Design And Creation Incorporation,Bangalore,"₹ 5,50,000 - 11,00,000 /year",0 year(s),Presentation skillsMS-ExcelEnglish Proficiency (Spoken)English Proficiency (Written)Kannada Proficiency (Spoken)Interpersonal skillsEffective Communication,550000,1100000,825000.0,0
4,CCL Advisors,Mumbai,"₹ 8,00,000 - 10,00,000 /year",1 year(s),Legal ResearchCompany LawLegal DraftingStatutory compliancesLegal WritingContract Management,800000,1000000,900000.0,1
5,SREEDHARA ENTERPRISES,Bangalore,"₹ 5,00,000 /year",1 year(s),MS-OfficeAccountingTallyMS-ExcelEnglish Proficiency (Spoken)English Proficiency (Written),500000,500000,500000.0,1
6,Godrej Capital,"Ahmedabad, Mehsana, Pune, Gandhidham, Vapi, Ahmednagar, Vadodara, Mumbai, Nashik","₹ 4,00,000 /year",0 year(s),MS-OfficeMS-PowerPointMS-ExcelEffective Communication,400000,400000,400000.0,0
7,Leafoberryy,Mumbai,"₹ 7,00,000 - 9,60,000 /year",1 year(s),LeadershipTeam ManagementE-commerceData AnalyticsMentorshipB2B SalesEffective Communication+2 more,700000,960000,830000.0,1
8,YES Italy Edutech Pvt. Ltd.,"Delhi, Mumbai","₹ 4,00,000 - 10,50,000 /year",1 year(s),Lead GenerationSales ManagementEnglish Proficiency (Spoken)Sales,400000,1050000,725000.0,1
9,Internshala,Gurgaon,"₹ 6,60,000 - 7,00,000 /year",1 year(s),NegotiationProblem SolvingEnglish Proficiency (Spoken)SalesEffective Communication,660000,700000,680000.0,1
10,Internshala,Gurgaon,"₹ 6,60,000 - 8,00,000 /year",1 year(s),NegotiationProblem SolvingEnglish Proficiency (Spoken)SalesEffective Communication,660000,800000,730000.0,1
11,Lishanth Enterprises,Vijayawada,"₹ 10,00,000 - 12,00,000 /year",1 year(s),Client Relationship Management (CRM)Sales ManagementSales SupportCustomer SupportSales Strategy,1000000,1200000,1100000.0,1
12,Belstar MicroFinance Limited,Chennai,"₹ 8,00,000 - 12,00,000 /year",1 year(s),AccountingFinancial planningFinancial Reporting,800000,1200000,1000000.0,1
13,California Burrito,Bangalore,"₹ 7,00,000 - 8,00,000 /year",1 year(s),Video Editing,700000,800000,750000.0,1
14,NYX,Work from home,"₹ 6,00,000 /year",1 year(s),NegotiationDigital MarketingClient Relationship Management (CRM)Client RelationshipLinkedIn MarketingBusiness DevelopmentGoogle Workspace+5 more,600000,600000,600000.0,1
15,Bhanzu (Formerly Exploring Infinities),Work from home,"₹ 5,80,000 - 6,00,000 /year",1 year(s),Social Media MarketingPresentation skillsEmail MarketingMS-ExcelEnglish Proficiency (Spoken)SalesEffective Communication,580000,600000,590000.0,1
16,Confederation Of Indian Industry (CII),"Coimbatore, Madurai, Visakhapatnam","₹ 5,50,000 - 6,50,000 /year",1 year(s),Effective Communication,550000,650000,600000.0,1
17,SpotOnMedia,Work from home,"₹ 5,06,000 - 6,40,500 /year",1 year(s),MS-OfficeMS-ExcelClient Relationship Management (CRM)Client RelationshipEnglish Proficiency (Spoken)English Proficiency (Written)Hindi Proficiency (Spoken)+1 more,506000,640500,573250.0,1
18,WWF India,Hyderabad,"₹ 5,00,000 - 6,50,000 /year",1 year(s),Client InteractionPublic SpeakingSalesMarketingCustomer Acquisition,500000,650000,575000.0,1
19,Bhanzu (Formerly Exploring Infinities),Bangalore,"₹ 4,60,000 - 4,80,000 /year",0 year(s),MS-ExcelEnglish Proficiency (Spoken)English Proficiency (Written)SalesEffective CommunicationSales Strategy,460000,480000,470000.0,0
20,Bhanzu (Formerly Exploring Infinities),Bangalore,"₹ 4,60,000 /year",0 year(s),English Proficiency (Spoken)English Proficiency (Written)Interpersonal skills,460000,460000,460000.0,0
21,Fitelo,Work from home,"₹ 4,50,000 - 6,00,000 /year",1 year(s),Client RelationshipEnglish Proficiency (Spoken)English Proficiency (Written)Effective Communication,450000,600000,525000.0,1
22,Faff,Bangalore,"₹ 4,20,000 - 6,80,000 /year",0 year(s),Time ManagementProblem SolvingCoordinationAdaptabilityEffective CommunicationConflict Management,420000,680000,550000.0,0
23,Netcore Cloud,"Thane, Mumbai","₹ 4,10,000 - 5,00,000 /year",0 year(s),HTMLLinuxMS SQL Server,410000,500000,455000.0,0
24,SpotOnMedia,Work from home,"₹ 4,02,000 - 5,61,500 /year",1 year(s),MS-OfficeMS-ExcelClient Relationship Management (CRM)Client RelationshipEnglish Proficiency (Spoken)English Proficiency (Written)Hindi Proficiency (Spoken)+1 more,402000,561500,481750.0,1
25,NoBroker Technologies Solutions Private Limited,Bangalore,"₹ 4,00,000 - 6,30,000 /year",1 year(s),Cold CallingInside SalesBusiness DevelopmentSales,400000,630000,515000.0,1
26,Imarticus Learning,"Mumbai, Noida","₹ 4,00,000 - 6,00,000 /year",1 year(s),Content WritingMS-WordMS-PowerPointStoryboardingMS-ExcelContent ManagementDesign Thinking+3 more,400000,600000,500000.0,1
27,WWF India,Chennai,"₹ 4,00,000 - 5,00,000 /year",0 year(s),Public SpeakingSalesMarketing,400000,500000,450000.0,0
28,Duroflex Private Limited,Hosur,"₹ 4,00,000 - 5,00,000 /year",0 year(s),Planning,400000,500000,450000.0,0
