skill,job_count,average_salary
Digital Marketing,2,775000.0
Accounting,2,750000.0
Sales Management,3,738333.3333333334
Presentation skills,2,707500.0
Negotiation,5,670000.0
Problem Solving,3,653333.3333333334
Sales Strategy,3,653333.3333333334
Client Relationship Management (CRM),5,629000.0
Lead Generation,2,617500.0
Data Analytics,2,610000.0
Sales,8,579063.0625
Business Development,2,557500.0
Effective Communication,14,550892.8571428572
English Proficiency (Spoken),18,536083.3333333334
Public Speaking,2,512500.0
Data entry,2,498500.0
MS-Excel,14,497857.14285714284
MS-Office,7,487428.5714285714
Customer Acquisition,2,482500.0
English Proficiency (Written),14,478321.4285714286
Hindi Proficiency (Spoken),3,476666.6666666667
Coordination,2,470000.0
MS-PowerPoint,2,450000.0
Recruitment,2,425000.0
MS SQL Server,2,420000.0
Canva,2,370000.0
Creative Writing,2,351000.0
