job_id,company_name,locations,salary_min,salary_max,salary_avg,experience_years,skill
1,Calipers Consulting Private Limited,"Secunderabad, Hyderabad                                                        (Hybrid)",504000,710000,607000.0,0,English Proficiency (Written)
1,Calipers Consulting Private Limited,"Secunderabad, Hyderabad                                                        (Hybrid)",504000,710000,607000.0,0,English Proficiency (Spoken)
1,Calipers Consulting Private Limited,"Secunderabad, Hyderabad                                                        (Hybrid)",504000,710000,607000.0,0,Data entry
1,Calipers Consulting Private Limited,"Secunderabad, Hyderabad                                                        (Hybrid)",504000,710000,607000.0,0,MS-Office
1,Calipers Consulting Private Limited,"Secunderabad, Hyderabad                                                        (Hybrid)",504000,710000,607000.0,0,MS-Excel
2,Gruhatara Estates,Bangalore,600000,1300000,950000.0,1,Marketing Strategies
2,Gruhatara Estates,Bangalore,600000,1300000,950000.0,1,Digital Marketing
2,Gruhatara Estates,Bangalore,600000,1300000,950000.0,1,Market research
2,Gruhatara Estates,Bangalore,600000,1300000,950000.0,1,Negotiation
3,Modtraa Design And Creation Incorporation,Bangalore,550000,1100000,825000.0,0,English Proficiency (Written)
3,Modtraa Design And Creation Incorporation,Bangalore,550000,1100000,825000.0,0,English Proficiency (Spoken)
3,Modtraa Design And Creation Incorporation,Bangalore,550000,1100000,825000.0,0,Effective Communication
3,Modtraa Design And Creation Incorporation,Bangalore,550000,1100000,825000.0,0,Presentation skills
3,Modtraa Design And Creation Incorporation,Bangalore,550000,1100000,825000.0,0,MS-Excel
4,CCL Advisors,Mumbai,800000,1000000,900000.0,1,Statutory compliances
4,CCL Advisors,Mumbai,800000,1000000,900000.0,1,Contract Management
4,CCL Advisors,Mumbai,800000,1000000,900000.0,1,Legal Research
4,CCL Advisors,Mumbai,800000,1000000,900000.0,1,Legal Drafting
4,CCL Advisors,Mumbai,800000,1000000,900000.0,1,Legal Writing
4,CCL Advisors,Mumbai,800000,1000000,900000.0,1,Company Law
5,SREEDHARA ENTERPRISES,Bangalore,500000,500000,500000.0,1,English Proficiency (Written)
5,SREEDHARA ENTERPRISES,Bangalore,500000,500000,500000.0,1,English Proficiency (Spoken)
5,SREEDHARA ENTERPRISES,Bangalore,500000,500000,500000.0,1,Accounting
5,SREEDHARA ENTERPRISES,Bangalore,500000,500000,500000.0,1,MS-Office
5,SREEDHARA ENTERPRISES,Bangalore,500000,500000,500000.0,1,MS-Excel
5,SREEDHARA ENTERPRISES,Bangalore,500000,500000,500000.0,1,Tally
6,Godrej Capital,"Ahmedabad, Mehsana, Pune, Gandhidham, Vapi, Ahmednagar, Vadodara, Mumbai, Nashik",400000,400000,400000.0,0,Effective Communication
6,Godrej Capital,"Ahmedabad, Mehsana, Pune, Gandhidham, Vapi, Ahmednagar, Vadodara, Mumbai, Nashik",400000,400000,400000.0,0,MS-PowerPoint
6,Godrej Capital,"Ahmedabad, Mehsana, Pune, Gandhidham, Vapi, Ahmednagar, Vadodara, Mumbai, Nashik",400000,400000,400000.0,0,MS-Office
6,Godrej Capital,"Ahmedabad, Mehsana, Pune, Gandhidham, Vapi, Ahmednagar, Vadodara, Mumbai, Nashik",400000,400000,400000.0,0,MS-Excel
7,Leafoberryy,Mumbai,700000,960000,830000.0,1,Effective Communication
7,Leafoberryy,Mumbai,700000,960000,830000.0,1,Team Management
7,Leafoberryy,Mumbai,700000,960000,830000.0,1,Data Analytics
7,Leafoberryy,Mumbai,700000,960000,830000.0,1,Leadership
7,Leafoberryy,Mumbai,700000,960000,830000.0,1,E-commerce
7,Leafoberryy,Mumbai,700000,960000,830000.0,1,Mentorship
7,Leafoberryy,Mumbai,700000,960000,830000.0,1,Sales
8,YES Italy Edutech Pvt. Ltd.,"Delhi, Mumbai",400000,1050000,725000.0,1,English Proficiency (Spoken)
8,YES Italy Edutech Pvt. Ltd.,"Delhi, Mumbai",400000,1050000,725000.0,1,Sales Management
8,YES Italy Edutech Pvt. Ltd.,"Delhi, Mumbai",400000,1050000,725000.0,1,Lead Generation
9,Internshala,Gurgaon,660000,700000,680000.0,1,English Proficiency (Spoken)
9,Internshala,Gurgaon,660000,700000,680000.0,1,Effective Communication
9,Internshala,Gurgaon,660000,700000,680000.0,1,Problem Solving
9,Internshala,Gurgaon,660000,700000,680000.0,1,Negotiation
9,Internshala,Gurgaon,660000,700000,680000.0,1,Sales
10,Internshala,Gurgaon,660000,800000,730000.0,1,English Proficiency (Spoken)
10,Internshala,Gurgaon,660000,800000,730000.0,1,Effective Communication
10,Internshala,Gurgaon,660000,800000,730000.0,1,Problem Solving
10,Internshala,Gurgaon,660000,800000,730000.0,1,Negotiation
10,Internshala,Gurgaon,660000,800000,730000.0,1,Sales
11,Lishanth Enterprises,Vijayawada,1000000,1200000,1100000.0,1,Client Relationship Management (CRM)
