skill,job_count,demand_percent
English Proficiency (Spoken),18,36.0
MS-Excel,14,28.000000000000004
Effective Communication,14,28.000000000000004
English Proficiency (Written),14,28.000000000000004
Sales,8,16.0
MS-Office,7,14.000000000000002
Client Relationship Management (CRM),5,10.0
Negotiation,5,10.0
Hindi Proficiency (Spoken),3,6.0
Sales Strategy,3,6.0
Sales Management,3,6.0
Problem Solving,3,6.0
Creative Writing,2,4.0
Coordination,2,4.0
Data Analytics,2,4.0
Lead Generation,2,4.0
Data entry,2,4.0
Accounting,2,4.0
Business Development,2,4.0
Canva,2,4.0
MS-PowerPoint,2,4.0
Presentation skills,2,4.0
Public Speaking,2,4.0
MS SQL Server,2,4.0
Recruitment,2,4.0
Customer Acquisition,2,4.0
Digital Marketing,2,4.0
Cold Calling,1,2.0
Adobe Photoshop,1,2.0
Branding,1,2.0
ArcGIS,1,2.0
Adobe InDesign,1,2.0
Adobe Illustrator,1,2.0
Adaptability,1,2.0
Client Interaction,1,2.0
Client Relationship,1,2.0
Content Writing,1,2.0
Contract Management,1,2.0
Conflict Management,1,2.0
Content Management,1,2.0
Company Law,1,2.0
E-commerce,1,2.0
HTML,1,2.0
Inside Sales,1,2.0
Financial planning,1,2.0
Financial Reporting,1,2.0
Figma,1,2.0
Field Sales,1,2.0
Digital Illustration,1,2.0
Design Thinking,1,2.0
Customer Support,1,2.0
Data Analysis,1,2.0
Linux,1,2.0
Legal Drafting,1,2.0
Legal Research,1,2.0
Legal Writing,1,2.0
Leadership,1,2.0
Interior design,1,2.0
Interview Coordination,1,2.0
Investment Banking,1,2.0
Graphic Design,1,2.0
Mentorship,1,2.0
Medical Terminology,1,2.0
Network protocols,1,2.0
Motion Graphics,1,2.0
Marketing Strategies,1,2.0
Market research,1,2.0
MS-Word,1,2.0
Proofreading,1,2.0
Online Teaching,1,2.0
Planning,1,2.0
Power BI,1,2.0
SEO,1,2.0
Resume screening,1,2.0
Research and Analytics,1,2.0
SSMS,1,2.0
Sales Support,1,2.0
Statutory compliances,1,2.0
Storyboarding,1,2.0
Tally,1,2.0
Team Management,1,2.0
Time Management,1,2.0
UI & UX Design,1,2.0
Video Editing,1,2.0
